,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,GPT-3 term in Google,token added to Google
1273,lomaira,phentermine,False,False,True,
1274,oby-trim,phentermine,False,False,True,
1275,phentrol,phentermine,False,False,True,
1276,pro-fast,phentermine,False,False,True,
1277,suprenza,phentermine,False,False,True,
1278,tenuate,phentermine,diethylpropion,False,True,
1279,toraprex,phentermine,False,False,False,
1280,wilpo,phentermine,False,False,False,
1281,anfepramona,phentermine,False,False,True, pill
1282,clobenzorex,phentermine,False,False,False,
1283,fentermina,phentermine,False,False,True,
1284,anorectant_no.10,phentermine,False,False,True,
1285,phentercot,phentermine,False,False,True,
1286,phentremine,phentermine,False,False,True,
1287,reserpine,phentermine,reserpine,False,False,
1288,ronfalin,phentermine,False,False,False,
1289,terry_white_chemists_appetite_suppressant,phentermine,False,False,False,
1290,anorectant,phentermine,False,False,True, pill
1291,appetite_suppressant,phentermine,False,False,True, pill
1292,phentamine,phentermine,pheniramine,False,True,
1293,fentermine,phentermine,False,False,True,
1294,pentamethylenetetrazol,phentermine,False,False,False,
1295,diethylpropion,phentermine,diethylpropion,False,False,
1296,benzphetamine,phentermine,benzphetamine,False,False,
1297,phendimetrazine,phentermine,phendimetrazine,False,True,
1298,phenmetrazine,phentermine,phenmetrazine,False,False,
1299,anorectant,phentermine,False,False,True, pill
1300,appetite_suppressant,phentermine,False,False,True, pill
1301,anorectics,phentermine,False,False,True, drug
1302,sibutramine,phentermine,sibutramine,False,True,
1303,lorcaserin,phentermine,lorcaserin,False,False,
1304,meridia,phentermine,sibutramine,False,False,
1305,didrex,phentermine,benzphetamine,False,True,
1306,adipex-p,phentermine,False,False,True,
1307,anorectant_no._10,phentermine,False,False,True,
1308,pro-fast,phentermine,False,False,True,
1309,anorectant_no.,phentermine,False,False,True,
1310,phentremine,phentermine,False,False,True,
1311,supersonix,phentermine,False,False,False,
1312,anorectics,phentermine,False,False,True, drug
1313,anorectic,phentermine,False,False,False,
1314,phentremine,phentermine,False,False,True,
1315,anorectic,phentermine,False,False,False,
1316,anorexigenic,phentermine,False,False,True, pill
1317,adipex-p,phentermine,False,False,True,
1318,ionamin,phentermine,False,False,True,
1319,oby-cap,phentermine,False,False,False,
1320,pro-fast,phentermine,False,False,True,
1321,fastin,phentermine,phentermine,True,False,
1322,anorectic,phentermine,False,False,False,
1323,appetite_suppressant,phentermine,False,False,True, pill
1324,suprenza,phentermine,False,False,True,
1325,pro-fast,phentermine,False,False,True,
1326,ionamin,phentermine,False,False,True,
1327,phentrol,phentermine,False,False,True,
1328,consophene,phentermine,False,False,False,
1329,pro-pher,phentermine,False,False,True, pill
1330,obestin-30,phentermine,False,False,True,
1331,anorectic,phentermine,False,False,False,
1332,appetite_suppressant,phentermine,False,False,True, pill
1333,adipex,phentermine,phentermine,True,True,
1334,oby-trim,phentermine,False,False,True,
1335,pro-fast,phentermine,False,False,True,
1336,phentride,phentermine,False,False,True,
1337,anorex,phentermine,diethylpropion,False,False,
1338,wax_candles,phentermine,False,False,False,
1339,skinny_pills,phentermine,False,False,False,
1340,adipex,phentermine,phentermine,True,True,
1341,fastin,phentermine,phentermine,True,False,
1342,ionamin,phentermine,False,False,True,
1343,pro-fast,phentermine,False,False,True,
1344,phentrol,phentermine,False,False,True,
1345,adipex-p,phentermine,False,False,True,
1346,obephen,phentermine,False,False,True,
1347,oby-cap,phentermine,False,False,False,
1348,oby-trim,phentermine,False,False,True,
1349,teramine,phentermine,False,False,True,
1350,zantryl,phentermine,False,False,True,
1351,adipex,phentermine,phentermine,True,True,
1352,obestat,phentermine,False,False,True, slang
1353,oby-cap,phentermine,False,False,False,
1354,olamine,phentermine,False,False,False,
1355,anorectic,phentermine,False,False,False,
1356,anorexigenic,phentermine,False,False,True, pill
1357,appetite_suppressant,phentermine,False,False,True, pill
1358,lissamine,phentermine,False,False,False,
1359,phentrazine,phentermine,False,False,True,
1360,phentrol,phentermine,False,False,True,
1361,thermamine,phentermine,False,False,False,
1362,zantryl,phentermine,False,False,True,
1363,adipex,phentermine,phentermine,True,True,
1364,pro-fast,phentermine,False,False,True,
1365,adipex-p,phentermine,False,False,True,
1366,obestin-30,phentermine,False,False,True,
1367,anorex-sr,phentermine,False,False,True, pill
1368,phentrol,phentermine,False,False,True,
1369,pro-fast,phentermine,False,False,True,
1370,sentis,phentermine,False,False,True,
1371,redux,phentermine,dexfenfluramine,False,False,
1372,suprenza,phentermine,False,False,True,
1373,anorectics,phentermine,False,False,True, drug
1374,appetite_suppressants,phentermine,False,False,True, pill
1375,obestin,phentermine,False,False,True,
1376,oby-trim,phentermine,False,False,True,
1377,phentrol,phentermine,False,False,True,
1378,pro-fast,phentermine,False,False,True,
1379,regenon,phentermine,False,False,False,
1380,tenuate,phentermine,diethylpropion,False,True,
1381,zantryl,phentermine,False,False,True,
1382,pheterminology,phentermine,False,False,True, pill
1383,phetermineoplasty,phentermine,False,False,False,
1384,phetermine,phentermine,phentermine,True,True,
1385,adipex-p,phentermine,False,False,True,
1386,obestin-30,phentermine,False,False,True,
1387,anorex,phentermine,diethylpropion,False,False,
1388,phentrol,phentermine,False,False,True,
1389,phentremine,phentermine,False,False,True,
1390,dietrine,phentermine,False,False,True, drug
1391,lipidex,phentermine,False,False,False,
1392,phentremine,phentermine,False,False,True,
1393,phentamines,phentermine,False,False,True,
1394,suprenza,phentermine,False,False,True,
1395,pro-fast,phentermine,False,False,True,
1396,anorex-sr,phentermine,False,False,True, pill
1397,oby-cap,phentermine,False,False,False,
1398,oby-trim,phentermine,False,False,True,
1399,phentrol,phentermine,False,False,True,
1400,lopressor,phentermine,metoprolol,False,False,
1401,propranolol,phentermine,propranolol,False,False,
1402,inderal,phentermine,propranolol,False,False,
1403,tenormin,phentermine,atenolol,False,False,
1404,atenolol,phentermine,atenolol,False,False,
1405,betapace,phentermine,sotalol,False,False,
1406,adipex,phentermine,phentermine,True,True,
1407,pro-fast,phentermine,False,False,True,
1408,fastin,phentermine,phentermine,True,False,
1409,anorex,phentermine,diethylpropion,False,False,
1410,lomaira,phentermine,False,False,True,
1411,suprenza,phentermine,False,False,True,
1412,inhalation,phentermine,False,False,False,
1413,miracle_drug,phentermine,False,False,False,
1414,appetite_suppressant,phentermine,False,False,True, pill
1415,adipex,phentermine,phentermine,True,True,
1416,ionamin,phentermine,False,False,True,
1417,zantryl,phentermine,False,False,True,
1418,lomaira,phentermine,False,False,True,
1419,qsymia,phentermine,phentermine,True,True,
1420,belviq,phentermine,lorcaserin,False,False,
1421,saxenda,phentermine,liraglutide,False,False,
1422,adipex,phentermine,phentermine,True,True,
1423,lopressor,phentermine,metoprolol,False,False,
1424,tonalin,phentermine,False,False,False,
1425,xenical,phentermine,orlistat,False,False,
1426,reductil,phentermine,sibutramine,False,True, slang
1427,meridia,phentermine,sibutramine,False,False,
1428,anorectant_no._10,phentermine,False,False,True,
1429,adipex,phentermine,phentermine,True,True,
1430,pro-fast,phentermine,False,False,True,
1431,fenbutrazate,phentermine,False,False,False,
1432,diethylpropion,phentermine,diethylpropion,False,False,
1433,phenmetrazine,phentermine,phenmetrazine,False,False,
1434,benzphenamine,phentermine,False,False,True, drug
1435,amphetaminil,phentermine,False,False,False,
1436,sibutramine,phentermine,sibutramine,False,True,
1437,rimonabant,phentermine,rimonabant,False,False,
1438,orlistat,phentermine,orlistat,False,False,
1439,meridia,phentermine,sibutramine,False,False,
1440,reductil,phentermine,sibutramine,False,True, slang
1441,sibutramine,phentermine,sibutramine,False,True,
1442,anorectics,phentermine,False,False,True, drug
1443,weight_loss_medication,phentermine,False,False,True,
1444,appetite_suppressant,phentermine,False,False,True, pill
1445,phentamine,phentermine,pheniramine,False,True,
1446,phentamines,phentermine,False,False,True,
1447,appetite_suppressant,phentermine,False,False,True, pill
1448,diet_drug,phentermine,False,False,True,
1449,fen-phen,phentermine,False,False,True,
1450,diet_pills,phentermine,False,False,True,
1451,fenteramine,phentermine,False,False,True,
1452,phentamine,phentermine,pheniramine,False,True,
1453,pro-fast,phentermine,False,False,True,
1454,reduced_calorie_diet_+_increased_physical_activity,phentermine,False,False,False,
1455,lorcaserin,phentermine,lorcaserin,False,False,
1456,qsymia,phentermine,phentermine,True,True,
1457,suprenza,phentermine,False,False,True,
1458,ionamin,phentermine,False,False,True,
1459,adipex-p,phentermine,False,False,True,
1460,pro-fast,phentermine,False,False,True,
1461,toraprex,phentermine,False,False,False,
1462,anorex-sr,phentermine,False,False,True, pill
1463,fastin-xr,phentermine,False,False,True, pill
1464,obephen,phentermine,False,False,True,
1465,reductil,phentermine,sibutramine,False,True, slang
1466,sibutramine,phentermine,sibutramine,False,True,
1467,redux,phentermine,dexfenfluramine,False,False,
1468,meridia,phentermine,sibutramine,False,False,
1469,didrex,phentermine,benzphetamine,False,True,
1470,bontril,phentermine,phendimetrazine,False,True, pill
1471,phendimetrazine,phentermine,phendimetrazine,False,True,
1472,adipex,phentermine,phentermine,True,True,
1473,phentremine,phentermine,False,False,True,
1474,thermogenic,phentermine,False,False,False,
1475,appetite_suppressant,phentermine,False,False,True, pill
1476,weight_loss_drug,phentermine,False,False,True,
1477,fat_burner,phentermine,False,False,False,
1478,lorcaserin,phentermine,lorcaserin,False,False,
1479,qsymia,phentermine,phentermine,True,True,
1480,belviq,phentermine,lorcaserin,False,False,
1481,contrave,phentermine,naltrexone,False,False,
1482,saxenda,phentermine,liraglutide,False,False,
1483,ionamin,phentermine,False,False,True,
1484,meridia,phentermine,sibutramine,False,False,
1485,anorectic,phentermine,False,False,False,
1486,anorexigenic,phentermine,False,False,True, pill
1487,phentamine,phentermine,pheniramine,False,True,
1488,phentamines,phentermine,False,False,True,
1489,adipex,phentermine,phentermine,True,True,
1490,ionamin,phentermine,False,False,True,
1491,sibutramine,phentermine,sibutramine,False,True,
1492,didrex,phentermine,benzphetamine,False,True,
1493,benzphetamine,phentermine,benzphetamine,False,False,
1494,phendimetrazine,phentermine,phendimetrazine,False,True,
1495,anorectic,phentermine,False,False,False,
1496,adipex,phentermine,phentermine,True,True,
1497,phentamine,phentermine,pheniramine,False,True,
1498,phentamines,phentermine,False,False,True,
1499,pro-fast,phentermine,False,False,True,
1500,anorex,phentermine,diethylpropion,False,False,
1501,liraglutide,phentermine,liraglutide,False,False,
1502,phentolamine,phentermine,phentolamine,False,False,
1503,noradrenaline,phentermine,norepinephrine,False,False,
1504,pro-fast,phentermine,False,False,True,
1505,phentrol,phentermine,False,False,True,
1506,anorectant,phentermine,False,False,True, pill
1507,anorectic,phentermine,False,False,False,
1508,appetency_suppressant,phentermine,False,False,False,
1509,β-2_adrenergic_receptor_agonist,phentermine,False,False,False,
1510,phentrams,phentermine,False,False,True,
1511,phents,phentermine,False,False,True, pill
1512,fen-phen,phentermine,False,False,True,
1513,diethylpropion,phentermine,diethylpropion,False,False,
1514,bupropion,phentermine,bupropion,False,False,
1515,topiramate,phentermine,topiramate,False,True, pill
1516,zonisamide,phentermine,zonisamide,False,False,
1517,phendimetrazine,phentermine,phendimetrazine,False,True,
1518,diethylproprion,phentermine,False,False,True,
1519,anorex,phentermine,diethylpropion,False,False,
1520,adipex,phentermine,phentermine,True,True,
1521,suprenza,phentermine,False,False,True,
1522,t-diet,phentermine,False,False,True,
1523,fastin,phentermine,phentermine,True,False,
1524,ionamin,phentermine,False,False,True,
1525,pro-fast,phentermine,False,False,True,
1526,oby-cap,phentermine,False,False,False,
1527,suptrim,phentermine,False,False,False,
1528,zantryl,phentermine,False,False,True,
1529,phentermine_hydrochloride,phentermine,False,True,True,
1530,anorectic,phentermine,False,False,False,
1531,anorexigenic,phentermine,False,False,True, pill
1532,appetite_suppressant,phentermine,False,False,True, pill
1533,phentamine,phentermine,pheniramine,False,True,
1534,phentarmine,phentermine,phentermine,True,True,
1535,phentrolene,phentermine,False,False,False,
1536,fentermine,phentermine,False,False,True,
1537,diethylpropion,phentermine,diethylpropion,False,False,
1538,sibutramine,phentermine,sibutramine,False,True,
1539,lorcaserin,phentermine,lorcaserin,False,False,
1540,fatburner,phentermine,False,False,False,
1541,hunger_controller,phentermine,False,False,True, pill
1542,appetite_suppressant,phentermine,False,False,True, pill
1543,adipex,phentermine,phentermine,True,True,
1544,adipex-p,phentermine,False,False,True,
1545,oby-trim,phentermine,False,False,True,
1546,anorectics,phentermine,False,False,True, drug
1547,pro-fast,phentermine,False,False,True,
1548,redux,phentermine,dexfenfluramine,False,False,
1549,meridia,phentermine,sibutramine,False,False,
1550,pondimin,phentermine,fenfluramine,False,True,
1551,phendimetrazine,phentermine,phendimetrazine,False,True,
1552,ionamin,phentermine,False,False,True,
1553,tenuate,phentermine,diethylpropion,False,True,
1554,bontril,phentermine,phendimetrazine,False,True, pill
1555,adipex,phentermine,phentermine,True,True,
1556,fastin,phentermine,phentermine,True,False,
1557,adipex-p,phentermine,False,False,True,
1558,obephen,phentermine,False,False,True,
1559,zantryl,phentermine,False,False,True,
1560,pro-fast,phentermine,False,False,True,
1561,anorex-sr,phentermine,False,False,True, pill
1562,phentrol,phentermine,False,False,True,
1563,regenon,phentermine,False,False,False,
1564,adipex,phentermine,phentermine,True,True,
1565,oby-trim,phentermine,False,False,True,
1566,anorex,phentermine,diethylpropion,False,False,
1567,fastin,phentermine,phentermine,True,False,
1568,litramine,phentermine,False,False,False,
1569,meridia,phentermine,sibutramine,False,False,
1570,redux,phentermine,dexfenfluramine,False,False,
1571,anorectic,phentermine,False,False,False,
1572,anorexigenic,phentermine,False,False,True, pill
1573,phenq,phentermine,pentaerythritol_tetranitrate,False,True, drug
1574,phentabz,phentermine,False,False,True,
1575,phentremine,phentermine,False,False,True,
1576,pro-fast,phentermine,False,False,True,
1577,suprenza,phentermine,False,False,True,
1578,anorectic,phentermine,False,False,False,
1579,anorexigenic,phentermine,False,False,True, pill
1580,lomaira,phentermine,False,False,True,
1581,qsymia,phentermine,phentermine,True,True,
1582,suprenza,phentermine,False,False,True,
1583,selvester,phentermine,False,False,False,
1584,phentremine,phentermine,False,False,True,
1585,anorectic,phentermine,False,False,False,
1586,anorexigenic,phentermine,False,False,True, pill
1587,anorectic,phentermine,False,False,False,
1588,appetite_suppressant,phentermine,False,False,True, pill
1589,weight_loss_medication,phentermine,False,False,True,
1590,obesity_medication,phentermine,False,False,True,
1591,phentamine,phentermine,pheniramine,False,True,
1592,suprenza,phentermine,False,False,True,
1593,ionamin,phentermine,False,False,True,
1594,zantryl,phentermine,False,False,True,
1595,qsymia,phentermine,phentermine,True,True,
1596,lorcaserin,phentermine,lorcaserin,False,False,
1597,topiramate,phentermine,topiramate,False,True, pill
1598,saxenda,phentermine,liraglutide,False,False,
1599,belviq,phentermine,lorcaserin,False,False,
1600,phetermimes,phentermine,False,False,False,
1601,fentermine,phentermine,False,False,True,
1602,fentermimes,phentermine,False,False,True, pill
1603,affordamine,phentermine,False,False,False,
1604,afformamine,phentermine,False,False,False,
1605,astin,phentermine,False,False,False,
1606,obenix,phentermine,False,False,True,
1607,suprenza,phentermine,False,False,True,
1608,anorectic,phentermine,False,False,False,
1609,losec,phentermine,omeprazole,False,False,
1610,diethylpropion,phentermine,diethylpropion,False,False,
1611,phenmetrazine,phentermine,phenmetrazine,False,False,
1612,phentrazine,phentermine,False,False,True,
1613,pentorex,phentermine,False,False,True,
1614,pro-fast,phentermine,False,False,True,
1615,fastin,phentermine,phentermine,True,False,
1616,anorex,phentermine,diethylpropion,False,False,
1617,oby-trim,phentermine,False,False,True,
1618,redux,phentermine,dexfenfluramine,False,False,
1619,suprenza,phentermine,False,False,True,
1620,oby-trim,phentermine,False,False,True,
1621,anorectic,phentermine,False,False,False,
1622,anorexigenic,phentermine,False,False,True, pill
1623,schedule_iv_controlled_substance,phentermine,False,False,False,
1624,fastin,phentermine,phentermine,True,False,
1625,adipex-p,phentermine,False,False,True,
1626,lomaira,phentermine,False,False,True,
1627,qsymia,phentermine,phentermine,True,True,
1628,suprenza,phentermine,False,False,True,
1629,torino,phentermine,False,False,False,
1630,adipex-p,phentermine,False,False,True,
1631,obestin-30,phentermine,False,False,True,
1632,ionamin,phentermine,False,False,True,
1633,marsapex,phentermine,False,False,False,
1634,zantryl,phentermine,False,False,True,
1635,pro-fast,phentermine,False,False,True,
1636,anorex-sr,phentermine,False,False,True, pill
1637,lopressor,phentermine,metoprolol,False,False,
1638,topamax,phentermine,topiramate,False,False,
1639,wellbutrin,phentermine,bupropion,False,False,
1640,prozac,phentermine,fluoxetine,False,False,
1641,zoloft,phentermine,sertraline,False,False,
1642,paxil,phentermine,paroxetine,False,False,
1643,lexapro,phentermine,escitalopram,False,False,
1644,adipex,phentermine,phentermine,True,True,
1645,pro-fast,phentermine,False,False,True,
1646,oby-cap,phentermine,False,False,False,
1647,anorex,phentermine,diethylpropion,False,False,
1648,torpex,phentermine,False,False,False,
1649,phentrol,phentermine,False,False,True,
1650,cod-efferalgan,phentermine,False,False,False,
1651,phentremine,phentermine,False,False,True,
1652,anorectic,phentermine,False,False,False,
1653,appetite_suppressant,phentermine,False,False,True, pill
1654,anorectant_no._10,phentermine,False,False,True,
1655,beta-methylphenethylamine,phentermine,False,False,False,
1656,fastin,phentermine,phentermine,True,False,
1657,ionamin,phentermine,False,False,True,
1658,tenuate,phentermine,diethylpropion,False,True,
1659,bontril,phentermine,phendimetrazine,False,True, pill
1660,didrex,phentermine,benzphetamine,False,True,
1661,pro-fast,phentermine,False,False,True,
1662,zantryl,phentermine,False,False,True,
1663,appetite_suppressant,phentermine,False,False,True, pill
1664,diet_pill,phentermine,False,False,True,
1665,anorectant_no.1,phentermine,False,False,True,
1666,tertiary_amine,phentermine,False,False,True, pill
1667,pheteramines,phentermine,False,False,True,
1668,anorectic,phentermine,False,False,False,
1669,anoretic,phentermine,False,False,True, pill
1670,anorexigenic,phentermine,False,False,True, pill
1671,weight_loss_drug,phentermine,False,False,True,
1672,appetite_suppressant,phentermine,False,False,True, pill
1673,fentermine,phentermine,False,False,True,
1674,diethylpropion,phentermine,diethylpropion,False,False,
1675,bupropin,phentermine,bupropion,False,False,
1676,anorectic,phentermine,False,False,False,
1677,anorexigenic,phentermine,False,False,True, pill
1678,appetite_suppressant,phentermine,False,False,True, pill
1679,belviq,phentermine,lorcaserin,False,False,
1680,didrex,phentermine,benzphetamine,False,True,
1681,fastin,phentermine,phentermine,True,False,
1682,lomaira,phentermine,False,False,True,
1683,qsymia,phentermine,phentermine,True,True,
1684,ionamin,phentermine,False,False,True,
1685,belviq,phentermine,lorcaserin,False,False,
1686,contrave,phentermine,naltrexone,False,False,
1687,saxenda,phentermine,liraglutide,False,False,
1688,phentrazine,phentermine,False,False,True,
1689,obephen,phentermine,False,False,True,
1690,pro-fast,phentermine,False,False,True,
1691,anorex-sr,phentermine,False,False,True, pill
1692,fastin,phentermine,phentermine,True,False,
1693,ionamin,phentermine,False,False,True,
1694,adipex-p,phentermine,False,False,True,
1695,pro-fast,phentermine,False,False,True,
1696,sentis,phentermine,False,False,True,
1697,suprenza,phentermine,False,False,True,
1698,topiramate,phentermine,topiramate,False,True, pill
1699,fastin,phentermine,phentermine,True,False,
1700,lopressor,phentermine,metoprolol,False,False,
1701,topamax,phentermine,topiramate,False,False,
1702,prozac,phentermine,fluoxetine,False,False,
1703,zoloft,phentermine,sertraline,False,False,
1704,lexapro,phentermine,escitalopram,False,False,
1705,paxil,phentermine,paroxetine,False,False,
1706,adipex,phentermine,phentermine,True,True,
1707,lomaira,phentermine,False,False,True,
1708,belviq,phentermine,lorcaserin,False,False,
1709,contrave,phentermine,naltrexone,False,False,
1710,saxenda,phentermine,liraglutide,False,False,
1711,ionamin,phentermine,False,False,True,
1712,zantryl,phentermine,False,False,True,
1713,phentamine,phentermine,pheniramine,False,True,
1714,phentamines,phentermine,False,False,True,
1715,hoodia,phentermine,False,False,False,
1716,sensa,phentermine,False,False,False,
1717,topamax,phentermine,topiramate,False,False,
1718,vyvanse,phentermine,lisdexamfetamine,False,False,
1719,qsymia,phentermine,phentermine,True,True,
1720,meridia,phentermine,sibutramine,False,False,
1721,jenny_craig,phentermine,False,False,False,
1722,reductil,phentermine,sibutramine,False,True, slang
1723,sibutramine,phentermine,sibutramine,False,True,
1724,orlistat,phentermine,orlistat,False,False,
1725,mazindol,phentermine,mazindol,False,False,
1726,tenuate,phentermine,diethylpropion,False,True,
1727,fastin,phentermine,phentermine,True,False,
1728,didrex,phentermine,benzphetamine,False,True,
1729,heromines,phentermine,False,False,False,
1730,phetylmine,phentermine,False,False,False,
1731,adipex-p,phentermine,False,False,True,
1732,obestin-30,phentermine,False,False,True,
1733,anorectant_no.10,phentermine,False,False,True,
1734,redux,phentermine,dexfenfluramine,False,False,
1735,phentrol,phentermine,False,False,True,
1736,anorectic,phentermine,False,False,False,
1737,pro-fast,phentermine,False,False,True,
1738,phen-fen,phentermine,False,False,True,
1739,fentermines,phentermine,False,False,True,
1740,diethylpropion,phentermine,diethylpropion,False,False,
1741,phendimetrazine,phentermine,phendimetrazine,False,True,
1742,benzphetamine,phentermine,benzphetamine,False,False,
1743,chlorphentermine,phentermine,chlorphentermine,False,False,
1744,prodimine,phentermine,False,False,False,
1745,adipex,phentermine,phentermine,True,True,
1746,anorectant,phentermine,False,False,True, pill
1747,mazindol,phentermine,mazindol,False,False,
1748,adipex-p,phentermine,False,False,True,
1749,oby-trim,phentermine,False,False,True,
1750,pro-fast,phentermine,False,False,True,
1751,phentamine,phentermine,pheniramine,False,True,
1752,isphentermine,phentermine,False,False,True,
1753,reduce,phentermine,False,False,False,
1754,diethylpropion,phentermine,diethylpropion,False,False,
1755,oby-trim,phentermine,False,False,True,
1756,phentride,phentermine,False,False,True,
1757,pink_phentrol,phentermine,False,False,True,
1758,pro-fast,phentermine,False,False,True,
1759,suprenza,phentermine,False,False,True,
1760,anorex,phentermine,diethylpropion,False,False,
1761,supenova,phentermine,False,False,False,
1762,phentrol,phentermine,False,False,True,
1763,adipex-p,phentermine,False,False,True,
1764,lomaira,phentermine,False,False,True,
1765,fastin,phentermine,phentermine,True,False,
1766,oby-trim,phentermine,False,False,True,
1767,phentamine,phentermine,pheniramine,False,True,
1768,phentemin,phentermine,False,False,True,
1769,phentemine,phentermine,False,False,True,
1770,suprenza,phentermine,False,False,True,
1771,pro-fast,phentermine,False,False,True,
1772,anorectic,phentermine,False,False,False,
1773,appetite_suppressant,phentermine,False,False,True, pill
1774,adipex,phentermine,phentermine,True,True,
1775,obenix,phentermine,False,False,True,
1776,anorex,phentermine,diethylpropion,False,False,
1777,tenuate,phentermine,diethylpropion,False,True,
1778,bontril,phentermine,phendimetrazine,False,True, pill
1779,desoxyn,phentermine,methamphetamine,False,False,
1780,meridia,phentermine,sibutramine,False,False,
1781,didrex,phentermine,benzphetamine,False,True,
1782,xendalex,phentermine,False,False,False,
1783,phentramine,phentermine,False,False,True,
1784,phenylpropanolamine,phentermine,phenylpropanolamine,False,False,
1785,pro-_fast,phentermine,False,False,True,
1786,anorex,phentermine,diethylpropion,False,False,
1787,fastin,phentermine,phentermine,True,False,
1788,l_ean,phentermine,False,False,False,
1789,lite,phentermine,False,False,False,
1790,quick,phentermine,False,False,False,
1791,rapid,phentermine,False,False,False,
1792,phentremen,phentermine,False,False,True,
1793,phentremine,phentermine,False,False,True,
1794,phementermine,phentermine,False,False,False,
1795,fentermine,phentermine,False,False,True,
1796,diethylpropion,phentermine,diethylpropion,False,False,
1797,benzphetamine,phentermine,benzphetamine,False,False,
1798,chlorphentermine,phentermine,chlorphentermine,False,False,
1799,phenylpropanolamine,phentermine,phenylpropanolamine,False,False,
1800,prohormones,phentermine,False,False,False,
1801,anorex,phentermine,diethylpropion,False,False,
1802,fastin,phentermine,phentermine,True,False,
1803,anorectic,phentermine,False,False,False,
1804,anorexigenic,phentermine,False,False,True, pill
1805,anorexiant,phentermine,False,False,True, pill
1806,obestin,phentermine,False,False,True,
1807,anorectic,phentermine,False,False,False,
1808,anorexigenic,phentermine,False,False,True, pill
1809,anorexiant,phentermine,False,False,True, pill
1810,adipex,phentermine,phentermine,True,True,
1811,obenix,phentermine,False,False,True,
1812,osymia,phentermine,False,False,True,
1813,qsymia,phentermine,phentermine,True,True,
1814,lomaira,phentermine,False,False,True,
1815,suprenza,phentermine,False,False,True,
1816,pro-fast,phentermine,False,False,True,
1817,ephedrine,phentermine,ephedrine,False,False,
1818,ephdra,phentermine,ephedra,False,False,
1819,ma_huang,phentermine,ephedra,False,False,
1820,adipex-p,phentermine,False,False,True,
1821,phentrol,phentermine,False,False,True,
1822,obephen,phentermine,False,False,True,
1823,anorectics,phentermine,False,False,True, drug
1824,oby-trim,phentermine,False,False,True,
1825,phendimetrazine,phentermine,phendimetrazine,False,True,
1826,didrex,phentermine,benzphetamine,False,True,
1827,anorectics,phentermine,False,False,True, drug
1828,appetite_suppressants,phentermine,False,False,True, pill
1829,adipex,phentermine,phentermine,True,True,
1830,phen-fen,phentermine,False,False,True,
1831,suprenza,phentermine,False,False,True,
1832,fastin,phentermine,phentermine,True,False,
1833,ionamin,phentermine,False,False,True,
1834,pro-fast,phentermine,False,False,True,
1835,tochinese,phentermine,False,False,False,
1836,suprenza,phentermine,False,False,True,
1837,furomine,phentermine,False,False,True,
1838,phentremine,phentermine,False,False,True,
1839,anorectic,phentermine,False,False,False,
1840,anorexigenic,phentermine,False,False,True, pill
1841,appetite_suppressant,phentermine,False,False,True, pill
1842,phentarmin,phentermine,False,False,True,
1843,phentarmeen,phentermine,False,False,False,
1844,phentarmeyne,phentermine,False,False,False,
1845,phentermeen,phentermine,False,False,True,
1846,phentermene,phentermine,False,False,True,
1847,phentermiene,phentermine,False,False,True, pill
1848,fenoterol,phentermine,fenoterol,False,False,
1849,fentermine,phentermine,False,False,True,
1850,pentremine,phentermine,False,False,True,
1851,phentermine_hydrochloride,phentermine,False,True,True,
1852,phethamine,phentermine,False,False,True,
1853,phynthermine,phentermine,False,False,False,
1854,fentermine,phentermine,False,False,True,
1855,vyvanse,phentermine,lisdexamfetamine,False,False,
1856,adderall,phentermine,amphetamine,False,False,
1857,ritalin,phentermine,methylphenidate,False,False,
1858,concerta,phentermine,methylphenidate,False,False,
1859,fentermine,phentermine,False,False,True,
1860,diethylpropion,phentermine,diethylpropion,False,False,
1861,bupropion,phentermine,bupropion,False,False,
1862,sibutramine,phentermine,sibutramine,False,True,
1863,orlistat,phentermine,orlistat,False,False,
1864,lorcaserin,phentermine,lorcaserin,False,False,
1865,saxenda,phentermine,liraglutide,False,False,
1866,anorectic,phentermine,False,False,False,
1867,appetite_suppressant,phentermine,False,False,True, pill
1868,lorcaserin,phentermine,lorcaserin,False,False,
1869,topiramate,phentermine,topiramate,False,True, pill
1870,bupropion,phentermine,bupropion,False,False,
1871,contrave,phentermine,naltrexone,False,False,
1872,saxenda,phentermine,liraglutide,False,False,
1873,belviq,phentermine,lorcaserin,False,False,
1874,qsymia,phentermine,phentermine,True,True,
1875,anorectic,phentermine,False,False,False,
1876,anorexigenic,phentermine,False,False,True, pill
1877,adipex,phentermine,phentermine,True,True,
1878,adipex-p,phentermine,False,False,True,
1879,anorectics,phentermine,False,False,True, drug
1880,adipex,phentermine,phentermine,True,True,
1881,anorectic,phentermine,False,False,False,
1882,adipex-p,phentermine,False,False,True,
1883,obestin-30,phentermine,False,False,True,
1884,suprenza,phentermine,False,False,True,
1885,didrex,phentermine,benzphetamine,False,True,
1886,lomaira,phentermine,False,False,True,
1887,pro-fast,phentermine,False,False,True,
1888,anorectic,phentermine,False,False,False,
1889,ionamin,phentermine,False,False,True,
1890,adipex,phentermine,phentermine,True,True,
1891,fastin,phentermine,phentermine,True,False,
1892,lomaira,phentermine,False,False,True,
1893,qsymia,phentermine,phentermine,True,True,
1894,suprenza,phentermine,False,False,True,
